Previous_qualification_grade,Admission_grade,Age_at_enrollment,Curricular_units_1st_sem_approved,Application_order,Application_mode,Debtor,Scholarship_holder,Tuition_fees_up_to_date,Daytime_evening_attendance,Gender,Displaced,Status
122.0,127.3,20,0,5,17,0,0,1,1,1,1,Dropout
160.0,142.5,19,6,1,15,0,0,0,1,1,1,Graduate
122.0,124.8,19,0,5,1,0,0,0,1,1,1,Dropout
122.0,119.6,20,6,2,17,0,0,1,1,0,1,Graduate
100.0,141.5,45,5,1,39,0,0,1,0,0,0,Graduate
133.1,114.8,50,5,1,39,1,0,1,0,1,0,Graduate
142.0,128.4,18,7,1,1,0,1,1,1,0,1,Graduate
119.0,113.1,22,0,4,18,0,0,0,1,1,1,Dropout
137.0,129.3,21,6,3,1,0,1,1,1,0,0,Graduate
138.0,123.0,18,5,1,1,1,0,0,1,0,1,Dropout
139.0,130.6,18,6,1,1,0,0,1,1,0,1,Graduate
136.0,119.3,18,7,1,1,0,1,1,1,0,1,Graduate
133.0,130.2,19,0,2,1,0,0,1,1,0,1,Dropout
110.0,111.8,21,6,1,53,0,1,1,1,0,1,Graduate
149.0,137.1,18,4,1,1,0,1,1,1,0,1,Graduate
127.0,120.7,20,5,1,1,0,0,1,1,0,1,Dropout
137.0,137.4,18,1,1,18,0,0,1,1,0,1,Enrolled
135.0,127.3,18,7,2,17,0,0,1,1,0,1,Graduate
137.0,136.3,20,4,1,1,0,0,1,1,0,1,Graduate
140.0,124.6,18,6,1,1,0,0,1,1,0,1,Enrolled
122.0,120.3,21,0,3,1,0,1,1,1,0,0,Graduate
127.0,121.8,20,7,4,18,0,0,1,1,0,1,Enrolled
142.0,125.5,18,7,4,1,0,0,1,1,0,1,Graduate
125.0,114.9,19,6,4,1,0,1,1,1,0,1,Graduate
126.0,123.9,19,6,1,1,0,0,1,1,0,0,Graduate
151.0,157.0,18,5,1,1,1,1,1,1,0,1,Enrolled
115.0,116.4,21,6,2,17,0,0,1,1,0,1,Graduate
138.0,131.0,18,5,1,1,0,0,1,1,0,1,Enrolled
135.0,122.1,20,5,1,1,0,0,1,1,0,1,Graduate
127.0,118.8,19,6,2,17,0,0,1,1,1,1,Enrolled
150.0,150.0,21,5,1,44,0,0,1,1,1,0,Enrolled
125.0,130.0,20,6,1,51,0,0,1,1,1,1,Graduate
143.0,138.8,18,3,1,1,0,0,0,1,1,0,Enrolled
138.0,134.5,19,6,1,18,0,0,1,0,0,1,Graduate
130.0,131.4,34,5,1,1,0,0,1,0,1,0,Graduate
130.0,102.5,37,0,1,39,1,0,0,1,1,0,Dropout
133.1,128.8,43,0,1,39,0,0,1,1,1,1,Dropout
140.0,122.9,55,1,1,43,0,0,1,1,0,0,Dropout
120.0,113.9,39,5,1,39,0,0,1,0,0,1,Graduate
120.0,120.0,20,3,1,44,1,0,0,1,0,0,Dropout
126.0,121.1,18,4,5,1,1,0,1,1,0,0,Dropout
133.0,120.4,22,5,2,1,0,0,1,1,0,1,Graduate
103.0,100.6,22,5,6,1,0,0,1,1,0,1,Graduate
120.0,121.4,20,4,1,17,0,0,0,1,0,0,Dropout
133.1,109.7,29,0,1,39,0,0,1,0,0,0,Dropout
154.0,134.1,24,2,1,17,0,0,1,0,0,0,Enrolled
130.0,127.6,18,6,2,17,0,0,1,1,0,1,Graduate
132.0,132.4,22,6,6,17,0,1,1,1,0,1,Graduate
130.0,133.4,21,6,1,44,0,1,1,0,0,0,Graduate
139.0,126.1,19,5,1,1,0,1,1,1,0,0,Graduate
130.0,113.5,24,6,1,39,0,1,1,1,0,0,Graduate
139.0,121.3,19,6,1,1,0,1,1,1,0,1,Enrolled
127.0,121.8,20,4,1,1,0,1,1,1,0,1,Enrolled
167.0,159.3,19,5,3,1,0,0,1,1,0,0,Graduate
130.0,120.0,27,5,1,39,0,0,1,0,0,0,Dropout
130.0,129.1,18,7,1,1,0,0,1,1,0,1,Graduate
130.0,130.0,39,0,1,7,0,0,1,1,0,0,Dropout
129.0,155.3,27,5,1,39,0,0,1,1,0,1,Dropout
141.0,139.8,18,8,1,17,0,0,1,1,0,1,Graduate
125.0,115.2,18,0,3,1,0,0,1,1,0,1,Enrolled
125.0,114.9,18,6,2,1,0,0,1,1,0,0,Graduate
130.0,131.9,21,6,1,44,0,1,1,1,0,0,Graduate
133.0,126.0,19,0,3,17,0,1,1,1,1,1,Enrolled
127.0,130.2,19,5,1,17,0,0,1,1,1,1,Enrolled
116.0,120.9,24,0,1,43,0,0,1,1,1,0,Enrolled
133.1,126.0,29,5,1,42,0,0,1,1,1,1,Dropout
139.0,128.2,19,0,3,1,0,1,1,1,1,1,Graduate
130.0,130.0,23,6,1,44,0,0,1,1,1,1,Graduate
125.0,120.1,19,5,3,1,1,0,1,1,1,0,Dropout
160.0,100.0,26,6,1,39,0,0,1,1,1,0,Enrolled
148.0,134.0,18,0,1,17,0,0,1,1,1,0,Enrolled
150.0,130.8,24,7,1,17,0,0,1,1,1,0,Graduate
141.0,135.8,19,0,1,1,0,0,1,1,1,1,Dropout
118.0,111.7,18,3,4,17,0,0,1,1,1,1,Dropout
142.0,132.9,18,6,2,1,0,0,1,1,1,1,Graduate
120.0,115.5,18,3,3,17,1,0,1,1,1,1,Dropout
106.0,106.0,21,4,4,18,0,1,1,1,1,1,Dropout
121.0,120.3,19,6,4,17,1,1,1,1,1,1,Graduate
150.0,130.8,22,7,4,17,0,1,1,1,1,0,Graduate
120.0,117.0,33,6,1,39,0,0,1,0,1,0,Graduate
114.0,110.2,20,5,6,1,0,0,1,1,1,1,Dropout
140.0,155.7,35,0,1,39,0,0,1,0,1,1,Dropout
160.0,180.4,24,6,1,39,1,0,1,1,1,0,Dropout
120.0,125.5,18,5,1,17,0,0,1,1,1,0,Enrolled
130.0,110.0,33,6,1,39,0,0,1,0,0,1,Graduate
160.0,161.0,22,7,1,42,0,1,1,1,0,1,Graduate
120.0,100.0,25,4,1,39,0,1,1,1,0,0,Graduate
124.0,117.6,20,6,1,17,0,0,1,1,1,1,Graduate
143.0,128.7,23,4,6,1,0,0,1,1,1,1,Enrolled
115.0,112.2,18,2,2,43,1,0,1,1,1,1,Enrolled
133.1,100.8,24,0,1,39,0,0,1,1,1,0,Dropout
133.1,105.0,21,6,2,17,0,0,0,1,0,1,Graduate
133.1,100.0,26,2,1,15,0,0,1,1,0,0,Dropout
133.1,115.5,39,3,1,39,0,0,1,1,0,0,Dropout
133.1,114.0,44,8,1,39,0,0,1,0,0,0,Graduate
130.0,137.0,19,5,1,15,0,0,1,1,1,1,Enrolled
135.0,124.9,18,6,5,1,0,0,1,1,0,1,Graduate
132.0,120.3,18,7,5,1,0,1,1,1,0,1,Graduate
135.0,134.3,19,5,1,1,0,0,1,1,0,1,Enrolled
115.0,111.5,19,4,4,1,1,0,0,1,0,1,Dropout
130.0,128.8,21,8,1,53,0,0,1,1,0,0,Dropout
133.1,110.0,20,0,4,1,0,0,1,1,0,1,Graduate
130.0,113.5,36,0,1,39,0,0,1,0,0,1,Dropout
133.1,160.0,43,18,1,39,0,0,1,1,0,0,Graduate
123.0,117.4,19,0,1,18,0,0,1,1,0,1,Dropout
130.0,122.2,20,10,1,51,1,0,1,1,0,0,Graduate
122.0,118.2,19,0,2,1,0,0,1,1,0,1,Dropout
113.0,106.7,20,4,1,1,0,0,1,1,0,1,Dropout
111.0,108.2,20,6,5,1,0,0,1,1,0,1,Dropout
133.1,107.0,20,6,2,17,0,0,1,1,0,1,Enrolled
142.0,136.1,18,6,1,1,0,0,1,1,0,1,Graduate
123.0,115.3,18,3,2,17,0,1,1,1,0,1,Enrolled
131.0,139.8,19,5,1,1,0,0,1,1,0,1,Graduate
158.0,157.0,18,6,3,1,0,0,1,1,0,1,Graduate
122.0,131.0,18,6,2,17,0,0,1,1,0,1,Dropout
130.0,100.0,20,6,1,43,0,0,1,1,0,0,Enrolled
154.0,140.4,20,2,1,17,0,1,1,1,0,1,Enrolled
120.0,113.4,20,3,1,17,0,0,1,1,0,0,Enrolled
140.0,137.0,18,5,2,1,0,0,1,1,0,0,Graduate
127.0,121.8,18,5,1,1,0,0,1,1,0,0,Graduate
133.1,131.0,21,3,1,17,0,0,1,1,0,1,Dropout
120.0,118.6,19,5,2,1,0,0,1,1,0,1,Graduate
137.0,122.3,19,0,1,1,0,0,1,1,0,0,Dropout
131.0,127.9,19,5,1,1,0,1,1,1,0,0,Graduate
130.0,121.3,19,6,1,1,0,0,1,1,0,1,Graduate
122.0,117.1,19,5,6,17,0,0,1,1,0,1,Dropout
160.0,160.0,20,6,1,44,0,0,1,1,0,1,Graduate
146.0,145.3,18,5,1,1,0,1,1,1,0,1,Enrolled
131.0,122.6,18,6,3,17,0,0,1,1,0,1,Graduate
132.0,128.0,19,7,6,17,0,0,1,1,0,1,Graduate
138.0,124.9,18,7,3,1,0,1,1,1,0,1,Dropout
130.0,123.7,18,6,2,17,0,0,1,1,0,1,Graduate
126.0,120.1,19,5,4,1,0,0,1,1,0,1,Graduate
148.0,131.7,19,5,6,17,0,0,1,1,0,1,Dropout
130.0,133.2,20,9,1,43,0,0,1,1,0,0,Graduate
117.0,109.3,19,5,1,1,1,1,0,1,0,0,Dropout
120.0,113.0,20,4,1,17,0,0,1,1,0,1,Graduate
153.0,157.9,18,6,1,1,1,1,1,1,0,0,Graduate
117.0,112.1,20,5,2,1,0,1,1,1,0,0,Enrolled
178.0,174.7,18,7,1,18,0,0,1,1,0,0,Graduate
129.0,128.8,19,6,5,1,0,0,1,1,0,1,Graduate
116.0,110.1,19,6,6,1,0,1,1,1,0,1,Graduate
99.0,99.7,22,0,1,51,1,0,0,1,0,1,Enrolled
135.0,121.0,19,6,3,1,0,1,1,1,0,1,Graduate
141.0,131.7,19,7,3,1,0,1,1,1,0,1,Graduate
132.0,119.1,19,5,5,17,0,1,1,1,0,1,Graduate
132.0,124.7,19,0,4,1,0,0,1,1,0,1,Dropout
113.0,117.2,20,5,1,17,0,0,1,1,0,1,Dropout
134.0,128.8,18,5,1,1,0,0,1,1,0,0,Graduate
136.0,131.5,20,6,1,1,0,1,1,1,0,0,Graduate
136.0,121.7,18,0,1,1,0,0,1,1,0,1,Enrolled
129.0,123.4,19,5,1,1,0,0,1,1,0,0,Graduate
138.0,124.7,18,3,1,17,0,0,1,1,0,1,Enrolled
137.0,132.8,18,6,1,1,0,0,1,1,0,1,Graduate
115.0,108.7,21,3,1,43,0,0,1,1,0,1,Dropout
129.0,138.1,19,6,1,1,0,0,1,1,0,0,Dropout
131.0,126.5,18,5,1,1,0,1,1,1,0,0,Graduate
133.0,127.4,18,6,2,17,0,1,1,1,0,1,Graduate
125.0,123.6,20,4,3,1,0,0,1,1,0,1,Graduate
120.0,122.0,24,5,1,39,0,1,1,0,0,0,Graduate
128.0,118.2,19,6,1,1,0,0,1,1,0,0,Dropout
127.0,123.9,18,7,1,1,0,1,1,1,0,1,Graduate
134.0,125.8,18,7,2,1,0,0,1,1,0,1,Graduate
132.0,123.3,21,4,5,17,0,0,1,1,0,1,Dropout
